MagX, MagY, MagZ, AccX, AccY, AccZ, GyroR, GyroP, GyroY
335,-146,585,1,2,353,-515,-534,-529
336,-148,588,1,2,353,-516,-534,-529
337,-151,585,1,2,353,-515,-533,-529
337,-159,588,1,2,353,-515,-533,-529
334,-148,585,1,2,353,-516,-534,-529
335,-150,585,1,2,353,-516,-534,-530
334,-152,587,1,2,353,-515,-534,-529
336,-147,586,1,2,353,-515,-534,-529
337,-153,588,1,2,352,-515,-534,-529
336,-155,586,1,2,352,-516,-534,-530
337,-154,586,1,2,352,-515,-534,-530
336,-159,587,1,1,353,-515,-533,-529
334,-154,587,1,1,354,-516,-534,-529
338,-154,585,1,2,353,-516,-534,-529
337,-146,586,1,2,353,-516,-534,-530
338,-149,587,1,2,353,-515,-534,-530
340,-150,585,1,2,353,-515,-535,-529
338,-148,587,1,2,353,-515,-534,-530
342,-155,585,1,2,353,-515,-534,-529
335,-150,587,1,2,353,-515,-534,-529
336,-151,587,1,2,353,-516,-534,-530
337,-145,586,1,2,352,-516,-534,-529
337,-145,586,1,2,352,-516,-534,-530
338,-156,586,1,2,353,-516,-534,-530
336,-148,587,1,2,353,-516,-534,-529
337,-150,586,1,2,354,-516,-534,-530
337,-146,588,1,1,354,-516,-535,-530
341,-152,587,1,1,354,-516,-534,-529
337,-148,587,1,1,354,-516,-534,-529
338,-147,587,2,1,354,-515,-534,-529
340,-150,586,2,1,353,-515,-534,-530
338,-149,588,2,2,353,-516,-534,-529
340,-152,586,1,2,354,-516,-534,-529
338,-154,587,1,2,353,-516,-534,-529
337,-153,586,1,3,353,-516,-533,-530
338,-143,586,1,3,353,-515,-534,-529
337,-152,585,1,2,353,-516,-534,-529
337,-151,587,1,2,354,-516,-534,-529
337,-149,588,1,2,353,-516,-534,-529
344,-152,588,1,1,354,-516,-534,-529
342,-147,588,1,1,354,-516,-534,-530
338,-151,588,1,1,354,-516,-534,-530
337,-152,589,1,2,353,-516,-534,-529
340,-149,586,1,2,353,-516,-534,-530
339,-144,587,1,2,353,-515,-534,-530
337,-150,587,1,2,353,-515,-534,-529
337,-155,587,1,2,353,-515,-534,-530
338,-143,586,1,1,353,-515,-534,-529
337,-146,588,1,1,354,-515,-535,-529
339,-147,586,1,1,354,-515,-534,-529
339,-146,587,1,1,354,-516,-534,-529
339,-146,589,2,2,353,-516,-534,-529
340,-149,587,1,2,354,-516,-535,-530
341,-144,588,1,2,353,-515,-533,-530
337,-145,587,1,3,353,-516,-534,-530
341,-145,589,1,2,354,-516,-534,-529
338,-142,588,1,2,354,-515,-534,-529
338,-149,588,1,2,355,-515,-534,-530
341,-149,587,1,1,354,-516,-534,-530
337,-144,588,1,1,354,-515,-534,-529
342,-143,587,2,1,354,-515,-534,-530
344,-144,587,2,2,353,-516,-534,-529
340,-155,588,2,2,353,-515,-534,-529
340,-155,590,1,2,353,-516,-534,-529
340,-152,589,1,2,353,-516,-534,-530
341,-155,589,1,2,353,-516,-534,-530
344,-150,589,1,2,353,-516,-534,-529
339,-148,585,1,1,354,-516,-534,-529
340,-158,589,1,1,353,-515,-534,-529
342,-150,588,1,1,354,-516,-535,-529
339,-152,588,1,2,353,-515,-534,-529
339,-155,588,1,2,353,-516,-534,-530
339,-149,592,1,3,353,-515,-535,-530
339,-156,589,1,3,352,-515,-534,-529
341,-149,588,1,2,353,-516,-534,-529
341,-151,589,1,2,353,-516,-535,-529
339,-154,589,1,2,354,-515,-534,-529
339,-151,588,1,1,354,-516,-534,-530
343,-157,589,1,1,354,-516,-534,-529
340,-152,586,1,1,354,-516,-534,-529
341,-156,587,2,2,354,-514,-535,-529
339,-150,589,2,2,354,-516,-534,-529
341,-153,590,2,2,353,-515,-534,-530
342,-153,589,1,2,354,-515,-534,-530
345,-160,589,1,2,353,-515,-534,-529
342,-152,587,1,2,353,-515,-534,-529
340,-151,588,1,2,354,-515,-534,-530
339,-152,588,1,2,353,-515,-534,-530
341,-155,588,1,2,353,-516,-534,-529
340,-155,590,1,2,353,-515,-534,-529
339,-148,587,1,2,353,-516,-534,-530
341,-144,590,1,2,353,-516,-534,-529
341,-146,588,1,2,353,-516,-534,-529
344,-147,590,1,2,353,-516,-534,-529
340,-144,589,1,2,353,-516,-534,-530
341,-148,588,1,1,353,-516,-534,-529
341,-144,588,1,1,353,-516,-534,-529
341,-148,589,1,1,353,-516,-535,-530
341,-142,588,1,1,353,-516,-535,-530
341,-152,588,1,2,354,-516,-534,-529
341,-153,588,2,2,354,-516,-533,-529
339,-147,591,1,2,354,-515,-533,-529
341,-147,588,1,2,353,-515,-534,-530
341,-153,591,1,2,353,-516,-534,-529
340,-151,590,1,2,353,-515,-535,-530
342,-144,589,1,2,354,-516,-534,-529
341,-147,589,1,1,354,-516,-534,-529
340,-142,591,1,1,354,-515,-534,-529
340,-150,589,1,1,354,-516,-534,-529
341,-150,586,1,2,353,-516,-534,-529
342,-145,590,1,2,354,-516,-534,-529
341,-142,591,1,2,353,-516,-534,-530
341,-146,589,1,2,354,-515,-534,-529
341,-146,591,1,2,354,-515,-534,-530
340,-151,591,1,2,353,-516,-533,-529
346,-144,587,1,1,354,-516,-534,-530
341,-148,589,1,1,354,-516,-533,-529
341,-151,588,1,1,354,-516,-534,-529
341,-145,589,1,2,354,-515,-534,-530
342,-143,588,1,2,353,-515,-534,-530
343,-149,590,1,2,353,-516,-534,-530
340,-143,588,1,2,354,-516,-534,-529
341,-153,587,1,2,354,-515,-533,-530
346,-154,590,1,2,353,-515,-533,-529
342,-154,591,1,2,354,-516,-534,-529
340,-149,587,1,2,353,-515,-534,-530
342,-151,590,1,2,353,-515,-534,-529
341,-155,588,1,2,353,-515,-533,-529
342,-154,590,1,2,353,-515,-534,-529
344,-155,589,1,2,353,-516,-535,-529
339,-152,590,1,2,352,-515,-534,-529
343,-144,590,1,2,353,-515,-534,-529
345,-146,590,2,2,353,-515,-534,-529
345,-145,587,1,2,353,-516,-534,-529
344,-151,588,1,1,353,-516,-534,-530
341,-146,588,1,1,354,-515,-534,-530
339,-154,589,1,1,354,-515,-534,-530
340,-151,588,1,1,355,-515,-534,-530
343,-154,588,1,2,354,-515,-534,-530
341,-153,591,1,2,354,-515,-534,-530
340,-146,590,1,2,354,-515,-535,-529
340,-143,590,1,2,354,-515,-534,-530
344,-145,590,1,2,354,-516,-534,-530
341,-144,590,1,2,354,-515,-534,-529
342,-147,585,1,2,353,-515,-535,-530
341,-148,589,1,1,354,-516,-534,-530
340,-146,590,1,1,354,-515,-534,-529
342,-145,589,1,1,355,-516,-534,-529
340,-145,589,1,2,355,-515,-534,-530
343,-145,588,1,2,354,-516,-534,-529
342,-151,591,1,2,354,-515,-534,-530
344,-151,587,1,2,354,-515,-534,-530
342,-152,587,1,2,353,-515,-534,-529
340,-152,591,1,2,353,-515,-534,-530
340,-148,589,1,2,353,-515,-534,-530
346,-150,589,1,2,353,-516,-534,-530
340,-144,589,1,2,353,-516,-534,-529
340,-147,591,1,2,354,-516,-534,-529
347,-147,590,1,2,353,-516,-534,-530
341,-145,590,1,2,352,-516,-534,-529
344,-144,587,1,2,354,-516,-534,-530
344,-149,591,1,2,353,-516,-534,-529
346,-146,590,1,2,353,-516,-534,-529
341,-150,588,1,1,354,-516,-534,-529
342,-152,591,1,1,354,-515,-533,-530
342,-152,588,1,2,354,-516,-534,-530
343,-157,590,1,1,354,-516,-534,-530
343,-153,590,1,2,354,-515,-534,-530
341,-149,591,1,2,353,-515,-534,-529
347,-144,589,1,2,353,-515,-534,-530
344,-144,589,1,2,354,-515,-534,-530
340,-147,590,1,2,354,-515,-534,-530
341,-143,589,1,2,354,-515,-534,-529
340,-151,590,1,2,353,-515,-534,-530
337,-144,590,1,2,353,-516,-534,-529
340,-144,588,1,2,354,-516,-534,-530
341,-148,589,1,2,353,-515,-534,-530
339,-155,590,1,2,353,-516,-534,-530
343,-151,590,1,2,354,-516,-534,-529
346,-151,588,1,2,353,-516,-534,-529
344,-145,589,1,2,353,-516,-534,-530
342,-145,589,1,2,354,-515,-534,-529
343,-149,590,1,2,354,-516,-534,-530
341,-145,589,1,2,353,-516,-535,-530
340,-154,590,1,2,353,-515,-534,-530
341,-151,591,1,2,354,-515,-534,-529
346,-149,589,1,2,354,-516,-534,-529
341,-146,588,1,2,353,-516,-535,-530
342,-145,589,1,2,354,-515,-534,-529
341,-144,590,1,2,353,-516,-534,-530
343,-147,590,1,2,353,-515,-534,-530
343,-146,590,1,2,352,-516,-534,-529
344,-156,590,1,2,353,-516,-534,-530
341,-147,590,1,2,353,-515,-533,-529
341,-146,588,1,2,353,-515,-534,-530
342,-147,588,1,2,353,-515,-534,-529
343,-148,589,1,2,353,-516,-535,-530
341,-147,587,1,2,353,-515,-534,-529
341,-149,589,1,2,353,-516,-533,-530
340,-142,589,1,2,353,-515,-534,-529
341,-143,589,1,2,353,-515,-534,-529
340,-141,591,1,2,353,-515,-534,-530
343,-147,590,1,2,353,-516,-534,-529
342,-146,590,1,2,353,-515,-534,-529
346,-146,588,1,1,354,-515,-534,-530
340,-147,590,1,2,353,-516,-534,-530
340,-153,590,1,2,353,-516,-535,-529
343,-142,588,1,2,354,-515,-534,-529
340,-144,589,1,2,353,-515,-534,-529
341,-146,589,1,2,354,-515,-534,-529
341,-144,590,1,2,354,-516,-534,-530
340,-145,588,1,2,354,-516,-534,-530
341,-146,589,1,2,354,-515,-534,-529
342,-148,589,1,2,355,-516,-534,-529
342,-147,590,1,2,354,-515,-534,-530
340,-153,589,1,2,353,-515,-533,-530
339,-152,590,1,2,353,-515,-533,-530
343,-154,587,1,2,353,-515,-534,-529
342,-150,588,1,2,353,-515,-534,-529
341,-150,590,1,2,353,-515,-534,-530
340,-146,588,1,2,353,-515,-534,-529
346,-146,589,1,3,353,-515,-534,-529
341,-152,588,1,1,353,-515,-534,-529
344,-145,590,2,1,354,-515,-534,-529
344,-145,589,-2,-22,354,-515,-534,-533
340,-143,589,8,-1,354,-516,-534,-536
341,-154,587,-7,-3,360,-517,-532,-533
337,-157,589,-8,-85,444,-531,-515,-532
333,-174,589,-7,-192,529,-560,-503,-523
328,-189,584,0,-297,582,-574,-507,-493
321,-202,582,-20,-205,584,-615,-510,-467
332,-193,579,74,92,488,-634,-575,-470
336,-181,580,297,458,382,-516,-566,-574
344,-167,575,258,128,708,-460,-576,-592
353,-164,570,134,-35,596,-456,-604,-590
360,-152,567,156,-12,664,-473,-597,-577
369,-155,560,168,18,714,-492,-590,-570
377,-144,556,170,20,646,-508,-585,-569
382,-143,552,189,38,642,-518,-577,-571
385,-143,547,210,49,633,-524,-575,-575
391,-144,541,249,27,626,-528,-576,-570
396,-147,533,273,39,619,-534,-576,-553
400,-151,529,282,55,611,-546,-579,-534
403,-155,524,318,99,593,-553,-580,-520
412,-164,516,330,132,587,-554,-578,-510
409,-157,510,355,171,589,-551,-577,-506
412,-160,507,411,235,612,-535,-577,-508
414,-155,504,409,231,619,-519,-575,-509
421,-163,501,404,233,628,-514,-571,-502
416,-169,494,403,244,639,-524,-563,-494
413,-175,490,347,221,617,-540,-556,-486
415,-177,489,313,217,574,-559,-555,-479
414,-198,483,278,215,523,-574,-554,-473
409,-211,481,205,184,430,-582,-550,-467
410,-216,478,162,163,382,-585,-547,-460
398,-235,470,113,133,320,-593,-546,-451
393,-249,465,28,59,207,-605,-544,-434
388,-269,462,-8,52,170,-622,-544,-417
382,-279,458,-33,35,148,-619,-550,-413
379,-283,454,-72,-22,126,-594,-565,-419
380,-292,450,-94,-47,122,-567,-577,-432
374,-292,448,-126,-81,116,-540,-583,-445
375,-299,446,-218,-136,70,-526,-581,-456
371,-304,442,-252,-149,50,-526,-570,-467
369,-307,441,-267,-149,47,-531,-558,-475
371,-311,438,-259,-144,62,-539,-552,-481
366,-314,436,-221,-136,113,-547,-549,-486
364,-319,434,-200,-120,135,-552,-548,-491
364,-318,433,-175,-105,157,-552,-553,-497
363,-321,430,-129,-87,196,-549,-560,-500
364,-326,428,-112,-68,201,-542,-562,-502
363,-323,425,-103,-55,202,-538,-563,-504
363,-324,425,-94,-68,211,-534,-562,-504
363,-334,423,-94,-71,206,-529,-559,-505
362,-329,421,-95,-67,194,-527,-552,-506
363,-330,422,-88,-64,187,-524,-546,-509
360,-330,425,-81,-64,188,-521,-540,-512
359,-333,424,-76,-72,195,-518,-535,-513
357,-335,425,-59,-97,210,-518,-531,-513
355,-334,425,-49,-102,230,-522,-529,-513
354,-333,426,-42,-106,232,-526,-527,-513
352,-343,428,-36,-107,233,-530,-527,-513
350,-336,427,-21,-98,238,-531,-529,-513
346,-346,427,-18,-99,239,-530,-531,-514
350,-343,428,-17,-104,245,-524,-532,-514
346,-343,427,-15,-106,247,-519,-532,-516
347,-348,430,-19,-121,244,-514,-531,-517
343,-348,431,-20,-131,246,-511,-531,-516
344,-348,432,-19,-133,236,-507,-525,-517
342,-345,435,-25,-144,235,-508,-521,-517
337,-345,436,-32,-157,236,-511,-516,-518
334,-346,439,-35,-163,243,-514,-512,-518
333,-344,441,-31,-163,250,-516,-508,-521
331,-342,440,-26,-161,257,-520,-506,-523
327,-343,442,-19,-154,267,-524,-506,-525
325,-341,446,-17,-153,271,-524,-508,-528
322,-340,446,-14,-148,275,-520,-508,-530
320,-339,449,-7,-136,279,-517,-511,-532
319,-339,454,7,-118,285,-511,-515,-533
317,-332,454,12,-111,287,-505,-519,-534
316,-335,458,11,-110,287,-500,-519,-534
316,-332,459,6,-126,296,-497,-521,-534
313,-329,462,5,-138,292,-499,-525,-531
313,-330,463,2,-138,288,-503,-524,-528
310,-325,463,-3,-132,291,-507,-522,-526
314,-336,464,-4,-135,292,-510,-519,-526
307,-328,467,-4,-133,292,-512,-517,-524
305,-326,466,1,-132,296,-514,-516,-525
306,-329,467,2,-137,300,-518,-514,-523
299,-332,465,4,-131,303,-522,-515,-521
298,-332,467,10,-125,321,-524,-516,-520
297,-328,467,9,-132,326,-518,-520,-521
300,-325,471,3,-143,327,-513,-524,-523
300,-331,470,-1,-149,330,-508,-526,-524
295,-326,474,-3,-149,339,-505,-528,-525
293,-332,474,0,-145,337,-505,-529,-526
297,-327,475,2,-140,341,-505,-529,-527
293,-326,476,6,-139,351,-505,-529,-526
295,-324,476,6,-141,353,-508,-529,-527
293,-327,476,3,-141,352,-512,-529,-526
290,-323,477,0,-138,352,-514,-528,-526
291,-322,476,-3,-142,351,-516,-527,-527
288,-325,477,-3,-145,350,-517,-527,-527
284,-322,477,3,-140,348,-519,-526,-528
286,-335,477,3,-139,343,-522,-527,-530
287,-328,479,0,-142,337,-520,-526,-531
285,-334,478,-4,-136,324,-521,-525,-531
285,-330,479,-1,-139,328,-523,-526,-529
284,-331,478,2,-144,335,-521,-528,-528
283,-331,477,5,-145,340,-518,-529,-527
283,-330,481,3,-144,341,-517,-529,-527
285,-331,479,2,-148,340,-517,-530,-527
282,-327,479,-1,-151,336,-518,-528,-528
281,-330,481,-5,-155,325,-520,-527,-529
281,-329,478,-4,-154,321,-522,-525,-529
277,-329,479,-2,-146,320,-526,-524,-529
278,-331,479,5,-129,322,-529,-523,-529
276,-336,480,6,-125,324,-529,-524,-529
277,-342,479,8,-121,328,-527,-525,-530
276,-342,479,6,-127,328,-525,-526,-531
273,-341,478,3,-133,327,-525,-526,-532
272,-344,479,4,-134,328,-524,-527,-532
276,-340,478,4,-138,321,-523,-529,-532
278,-340,479,1,-141,314,-519,-530,-532
273,-344,480,-2,-144,310,-517,-530,-532
273,-339,479,-3,-147,309,-516,-531,-531
274,-339,478,-4,-136,307,-516,-531,-531
276,-338,481,-3,-136,310,-516,-532,-531
273,-338,480,-2,-138,316,-517,-533,-532
274,-339,480,-1,-140,320,-519,-534,-531
274,-340,480,1,-136,317,-519,-535,-531
274,-343,478,1,-134,312,-519,-535,-532
272,-345,479,4,-131,304,-520,-534,-532
272,-342,481,6,-130,304,-521,-535,-532
272,-345,478,9,-129,305,-521,-534,-531
275,-344,479,8,-128,301,-520,-534,-531
271,-344,480,3,-136,301,-520,-534,-531
271,-344,480,3,-136,301,-520,-534,-531
274,-341,479,0,-139,302,-518,-534,-528
275,-345,477,-1,-148,308,-518,-535,-528
277,-345,477,-2,-156,312,-519,-536,-527
273,-348,477,0,-148,310,-519,-536,-527
273,-347,479,1,-139,308,-519,-536,-528
272,-347,476,8,-141,310,-518,-536,-529
272,-344,478,9,-142,305,-517,-535,-529
275,-354,476,7,-139,299,-519,-535,-529
273,-349,473,7,-126,285,-519,-534,-530
275,-353,475,8,-124,284,-519,-533,-531
276,-349,477,10,-125,288,-517,-531,-532
278,-349,475,11,-131,303,-516,-531,-531
276,-346,477,12,-137,315,-514,-534,-531
275,-346,475,12,-143,322,-513,-535,-532
274,-348,475,5,-156,323,-512,-536,-532
273,-346,475,3,-159,321,-513,-535,-532
275,-349,476,1,-160,319,-515,-534,-531
276,-344,475,1,-150,320,-516,-534,-530
274,-344,476,4,-146,322,-515,-534,-531
278,-344,478,7,-142,325,-515,-534,-531
277,-343,475,10,-140,327,-516,-534,-531
275,-346,475,11,-131,325,-517,-534,-530
274,-344,476,13,-132,326,-517,-535,-530
279,-344,475,15,-136,324,-515,-535,-530
277,-341,475,11,-139,315,-515,-534,-529
272,-343,473,11,-141,313,-517,-532,-529
274,-347,476,10,-141,313,-517,-532,-529
279,-347,476,10,-141,314,-516,-532,-529
273,-340,474,10,-136,315,-516,-532,-530
275,-347,475,9,-135,316,-515,-531,-530
272,-341,477,8,-143,327,-514,-531,-530
275,-347,477,9,-147,335,-513,-533,-531
278,-342,477,13,-151,346,-511,-535,-530
273,-345,475,9,-155,347,-510,-537,-530
275,-346,476,5,-155,342,-512,-538,-531
274,-346,476,2,-151,334,-512,-536,-531
277,-344,476,2,-146,328,-513,-535,-532
278,-344,476,6,-141,321,-515,-534,-532
281,-347,476,10,-135,321,-518,-533,-532
276,-346,475,15,-129,322,-518,-533,-532
275,-344,477,22,-131,330,-517,-535,-532
277,-345,476,22,-131,331,-514,-535,-532
276,-342,476,19,-129,329,-513,-536,-533
277,-344,475,12,-144,329,-512,-536,-533
277,-345,476,10,-148,327,-513,-535,-532
282,-342,476,8,-149,324,-517,-534,-531
278,-343,472,11,-150,325,-519,-534,-530
276,-343,477,12,-148,321,-518,-534,-530
278,-344,474,11,-147,319,-519,-535,-529
277,-341,475,16,-136,321,-518,-535,-529
283,-353,474,19,-132,324,-517,-535,-529
279,-339,476,20,-130,328,-514,-536,-530
277,-347,474,22,-129,333,-513,-536,-532
279,-342,475,18,-134,333,-513,-536,-532
280,-345,474,18,-135,331,-515,-536,-532
280,-342,475,19,-137,327,-515,-536,-533
281,-346,474,19,-136,318,-515,-535,-533
280,-336,476,21,-134,316,-516,-534,-533
283,-344,475,21,-134,316,-517,-534,-531
281,-339,474,19,-135,315,-516,-533,-531
281,-347,475,16,-137,316,-515,-533,-530
281,-342,474,14,-137,321,-517,-533,-530
282,-341,476,16,-138,326,-517,-534,-530
283,-344,476,16,-141,328,-517,-534,-529
281,-343,473,17,-142,329,-517,-535,-529
283,-342,475,21,-142,330,-518,-536,-529
281,-344,475,20,-143,328,-517,-537,-530
283,-344,475,19,-141,324,-517,-537,-530
287,-341,474,17,-138,317,-517,-536,-531
281,-340,473,18,-128,310,-517,-536,-531
283,-343,474,21,-126,312,-516,-536,-531
283,-340,475,20,-126,312,-515,-535,-531
283,-344,474,16,-130,311,-515,-535,-532
284,-340,474,15,-135,313,-514,-535,-531
283,-347,473,17,-137,314,-514,-534,-531
283,-344,473,17,-148,315,-515,-534,-531
286,-346,473,16,-149,314,-516,-533,-530
283,-341,474,15,-148,312,-518,-533,-529
282,-343,475,17,-141,311,-518,-532,-528
285,-346,474,19,-135,315,-518,-534,-528
283,-345,472,22,-130,320,-517,-534,-528
284,-342,475,20,-131,327,-515,-535,-528
281,-342,473,16,-134,329,-511,-536,-529
282,-338,471,13,-139,329,-511,-536,-530
284,-340,474,11,-141,328,-513,-535,-530
285,-338,472,11,-144,324,-514,-534,-530
0,0,0,0,0,0,0,0,0
0,-338,472,11,-144,324,-514,-534,-530
285,0,472,11,-144,324,-514,-534,-530
285,-338,0,11,-144,324,-514,-534,-530
285,-338,472,0,-144,324,-514,-534,-530
285,-338,472,11,0,324,-514,-534,-530
285,-338,472,11,-144,0,-514,-534,-530
285,-338,472,11,-144,324,0,-534,-530
285,-338,472,11,-144,324,-514,0,-530
285,-338,472,11,-144,324,-514,-534,0
-285,-338,472,11,-144,324,-514,-534,-530
285,338,472,11,-144,324,-514,-534,0
285,-338,-472,11,-144,324,-514,-534,0
285,-338,472,-11,-144,324,-514,-534,0
285,-338,472,11,144,324,-514,-534,0
285,-338,472,11,-144,-324,-514,-534,0
285,-338,472,11,-144,324,514,-534,0
285,-338,472,11,-144,324,-514,534,0
-285,-338,472,11,-144,324,-514,534,0
285,338,472,11,-144,324,514,-534,0
285,-338,-472,11,-144,-324,-514,-534,0
